,Name,Currency,Country,Sector,Yield,Forward_PE,Trailing_PE,PB_Ratio,index_weights
ABBN.SW,ABB,CHF,Switzerland,Industrials,0.0470595152009505,18.87,12.22,4.32,0.011899999999999999
ADS.DE,Adidas,EUR,Germany,Consumer Cyclical,0.0120690182247036,18.38,23.56,4.5,0.009899999999999999
ADYEN.AS,Adyen,EUR,Netherlands,Technology,0.0,72.46,94.7,24.8,0.013600000000000001
AI.PA,Air Liquide,EUR,France,Basic Materials,0.0182196771988055,25.13,29.45,3.52,0.0152
AIR.PA,Airbus,EUR,Netherlands,Industrials,0.0,20.7,16.58,7.74,0.0137
ALV.DE,Allianz,EUR,Germany,Financial Services,0.0486942889012931,8.92,17.82,1.14,0.0177
ABI.BR,Anheuser-Busch InBev,EUR,Belgium,Consumer Defensive,0.0095257046203068,17.48,24.75,1.43,0.009899999999999999
ASML.AS,ASML,EUR,Netherlands,Technology,0.0047484435909931,30.49,38.9,22.88,0.061200000000000004
AZN.L,AstraZeneca,GBp,United Kingdom,Healthcare,0.0236959506737203,18.59,,5.4,0.0335
CS.PA,AXA,EUR,France,Financial Services,0.0580250750242341,7.71,7.76,0.74,0.0113
BAS.DE,BASF,EUR,Germany,Basic Materials,0.0572786150506507,8.57,8.87,1.08,0.011899999999999999
BAYN.DE,Bayer,EUR,Germany,Healthcare,0.0439506678298812,8.38,28.48,1.67,0.0096
BHP.L,BHP,GBp,Australia,Basic Materials,0.0,7.92,10.36,3.2,0.0116
BNP.PA,BNP Paribas,EUR,France,Financial Services,0.0470593049938525,5.9,7.78,0.56,0.0147
BP.L,BP,GBp,United Kingdom,Energy,0.0477662691023392,4.95,20.24,1.6,0.0163
BATS.L,British American Tobacco,GBp,United Kingdom,Consumer Defensive,0.0803600606410258,9.78,11.77,1.18,0.0144
MBG.DE,Daimler,EUR,Germany,Consumer Cyclical,0.0215815310884161,5.92,6.42,0.9,0.0118
DTE.DE,Deutsche Telekom,EUR,Germany,Communication Services,0.0382018210582977,13.12,12.4,1.87,0.0118
DGE.L,Diageo,GBp,United Kingdom,Consumer Defensive,0.0180732673167366,22.62,27.68,10.78,0.023399999999999997
ENEL.MI,Enel,EUR,Italy,Utilities,0.078953667785739,11.0,19.15,2.03,0.011399999999999999
GSK.L,GlaxoSmithKline,GBp,United Kingdom,Healthcare,0.0505774391405292,14.41,17.54,5.56,0.0202
HSBA.L,HSBC,GBp,United Kingdom,Financial Services,0.0365032455375372,8.59,10.73,0.63,0.0231
IBE.MC,Iberdrola,EUR,Spain,Utilities,0.0412212807707026,16.56,18.34,1.34,0.0127
ISP.MI,Intesa Sanpaolo,EUR,Italy,Financial Services,0.0949841799720976,9.02,10.66,0.59,0.0087
KER.PA,Kering,EUR,France,Consumer Cyclical,0.0115529850132561,14.62,18.24,4.28,0.0108
LOR.F,L'Oreal,EUR,France,Consumer Defensive,0.0096256284708042,29.5,37.36,6.97,0.0212
LIN.DE,Linde,EUR,United Kingdom,Basic Materials,0.0139176566589246,26.39,40.45,3.67,0.0327
MOH.F,LVMH Moët Hennessy,EUR,France,Consumer Cyclical,0.009663051139066,21.19,23.97,6.11,0.0401
NG.L,National Grid,GBp,United Kingdom,Utilities,0.045755329008341,17.24,28.14,2.13,0.011000000000000001
NESN.SW,Nestlé,CHF,Switzerland,Consumer Defensive,0.0220752531150501,25.32,19.7,6.2,0.0725
NOVN.SW,Novartis,CHF,Switzerland,Healthcare,0.0389399842602511,13.99,8.11,3.12,0.0395
NOVO-B.CO,Novo Nordisk,DKK,Denmark,Healthcare,0.0128424763187333,35.09,35.39,25.94,0.034300000000000004
PRX.AS,Prosus,EUR,Netherlands,Communication Services,0.0019398642587224,8.18,3.79,2.76,0.0134
PRU.L,Prudential,GBp,United Kingdom,Financial Services,0.0102588235294117,9.6,15.03,2.02,0.0087
RKT.L,Reckitt Benckiser,GBp,United Kingdom,Consumer Defensive,0.0279681152623536,19.68,,6.03,0.0116
REL.L,RELX,GBp,United Kingdom,Communication Services,0.0201379545204832,23.7,29.88,13.5,0.011899999999999999
RIO.L,Rio Tinto,GBp,United Kingdom,Basic Materials,0.0410955426882659,5.87,5.18,2.11,0.0131
ROG.SW,Roche,CHF,Switzerland,Healthcare,0.0246446984510365,15.2,19.56,11.05,0.0538
SHEL.L,Royal Dutch Shell,GBp,United Kingdom,Energy,0.0375821918434981,6.57,10.65,1.26,0.0166
SAF.PA,Safran,EUR,France,Industrials,0.0040156891356654,26.11,958.8,3.19,0.02
SAN.PA,Sanofi,EUR,France,Healthcare,0.0371460871683032,13.28,19.28,1.86,0.0212
SAP.DE,SAP,EUR,Germany,Technology,0.0148118492986301,18.25,21.86,2.72,0.0285
SU.PA,Schneider Electric,EUR,France,Industrials,0.0153925913145125,17.67,22.02,2.85,0.0206
SIE.DE,Siemens,EUR,Germany,Industrials,0.0235755617742805,13.68,18.59,2.03,0.024
TTE.PA,TotalEnergies,EUR,France,Energy,0.0605529614736399,4.85,8.25,1.2,0.0246
UBSG.SW,UBS,CHF,Switzerland,Financial Services,0.0231993789311245,7.72,8.0,0.99,0.011399999999999999
ULVR.L,Unilever,GBp,United Kingdom,Consumer Defensive,0.0379418315317971,16.26,18.5,6.41,0.0259
DG.PA,Vinci,EUR,France,Industrials,0.0299618983602197,14.12,20.49,2.27,0.0116
VOD.L,Vodafone,GBp,United Kingdom,Communication Services,0.080085426410048,12.76,19.48,0.72,0.008
ZURN.SW,Zurich Insurance,CHF,Switzerland,Financial Services,0.0525008858162611,12.35,13.03,1.77,0.012199999999999999
